0,1,40
1,2,21
1,6,48
1,90,42
2,3,8
2,99,16
3,4,6
3,92,32
4,5,50
4,93,21
5,17,14
6,11,14
7,8,16
7,111,41
8,9,30
9,15,31
10,15,43
10,16,9
11,12,29
12,14,11
12,18,34
13,19,19
13,20,3
14,20,7
16,17,29
17,23,30
17,64,13
18,19,32
20,24,20
21,22,40
22,23,7
23,24,37
23,28,8
24,25,6
25,26,26
26,27,28
27,39,29
28,33,31
29,30,40
29,100,10
30,31,28
31,37,37
32,37,37
32,38,12
33,34,4
34,36,47
34,40,32
34,85,24
35,41,41
35,42,29
36,42,38
38,39,6
39,45,47
39,70,43
40,41,27
41,79,35
41,112,14
41,120,28
42,84,37
42,94,42
43,44,47
44,45,38
45,46,45
45,50,38
46,47,50
47,48,40
48,49,15
49,61,23
50,55,20
51,52,9
52,53,32
53,59,3
53,123,29
54,59,26
54,60,40
55,56,24
56,58,32
56,62,1
57,63,26
57,64,36
58,64,30
60,61,25
61,67,41
62,63,39
64,68,10
65,66,42
66,67,41
67,68,26
67,72,16
67,123,40
68,69,11
69,70,1
70,71,26
71,83,19
72,77,31
73,74,41
74,75,44
75,81,29
76,81,49
76,82,15
77,78,13
78,80,6
78,84,19
79,85,41
79,86,19
80,86,33
82,83,9
83,89,22
84,85,6
87,88,4
88,89,1
89,100,30
89,102,17
90,91,2
90,109,43
91,90,27
91,103,46
92,102,13
92,114,41
93,94,44
93,126,16
94,124,26
94,137,18
95,104,33
95,116,14
96,106,5
96,147,35
97,101,22
97,107,10
98,111,3
98,117,18
98,146,25
99,109,43
100,116,27
100,141,19
101,109,30
101,110,40
101,111,49
102,111,35
102,112,19
102,113,3
103,113,29
104,126,37
105,106,3
105,115,29
106,107,35
107,90,2
107,116,20
108,91,8
108,114,16
110,119,44
110,120,18
110,121,28
111,123,6
111,136,4
112,122,2
112,135,6
113,123,19
113,125,35
114,115,11
114,134,1
115,127,27
116,117,10
116,126,35
117,91,47
117,92,4
117,129,31
117,137,5
118,119,15
118,139,32
118,140,38
119,130,18
120,141,20
121,122,28
121,130,3
121,131,47
122,92,33
122,131,8
123,133,13
124,134,36
125,126,36
125,144,12
126,135,38
127,126,3
129,93,42
129,145,3
131,132,8
131,134,31
131,141,41
132,133,7
132,142,33
132,144,9
134,145,41
135,146,38
136,94,40
137,147,3
138,139,18
140,94,10
141,142,9
143,144,32
144,145,18
145,146,28
146,147,34
